id,user_id,origin_coordinates,destination_coordinates,leaves_at,seats_offered,created_at,deleted_at
35,2035,"[41.45,2.19]","[40.43,-3.71]",2025-10-05 17:45:00,3,2025-09-26 17:45:00,
36,2036,"[41.45,2.19]","[40.43,-3.71]",2025-10-06 18:15:00,1,2025-09-29 18:15:00,
37,2001,"[41.45,2.19]","[40.43,-3.71]",2025-10-07 18:45:00,4,2025-09-29 18:45:00,
38,2029,"[40.36,-3.92]","[40.43,-3.71]",2025-10-08 18:30:00,2,2025-09-29 18:30:00,
39,2039,"[41.45,2.19]","[38.97,-5.8]",2025-10-09 18:30:00,3,2025-10-01 18:30:00,
40,2040,"[41.45,2.19]","[40.43,-3.71]",2025-10-10 18:45:00,1,2025-09-30 18:45:00,2025-10-09
41,2041,"[38.97,-5.8]","[40.36,-3.92]",2025-10-01 07:30:00,3,2025-09-25 07:30:00,
42,2042,"[38.97,-5.8]","[40.36,-3.92]",2025-10-02 17:00:00,3,2025-09-22 17:00:00,
43,2043,"[38.97,-5.8]","[40.43,-3.71]",2025-10-03 08:30:00,3,2025-09-26 08:30:00,
44,2029,"[38.97,-5.8]","[41.45,2.19]",2025-10-04 18:00:00,3,2025-09-30 18:00:00,
45,2045,"[40.36,-3.92]","[38.97,-5.8]",2025-10-05 17:45:00,3,2025-09-26 17:45:00,
46,2001,"[40.36,-3.92]","[40.43,-3.71]",2025-10-06 09:00:00,1,2025-09-29 09:00:00,
47,2047,"[38.97,-5.8]","[40.36,-3.92]",2025-10-07 09:00:00,3,2025-09-29 09:00:00,2025-10-05
48,2048,"[40.36,-3.92]","[40.43,-3.71]",2025-10-08 07:30:00,1,2025-09-29 07:30:00,2025-10-07
49,2029,"[41.45,2.19]","[40.36,-3.92]",2025-10-09 18:45:00,2,2025-09-29 18:45:00,2025-10-02
50,2001,"[40.36,-3.92]","[40.43,-3.71]",2025-10-10 19:15:00,2,2025-09-30 19:15:00,
